Title,Acronym,sourceAccessedOn,AberOWL,AgroPortal,BARTOC ,BioPortal ,Bioregistry ,NERC ,EcoPortal ,FAIRsharing ,LOTERRE ,LOV ,MMI-ORR ,Ontobee ,OBO-Foundry ,OLS ,ARDC 
A nomenclatural ontology for biological names,NOMEN,28-06-2023,2023,,,2023,Not specified,,,,,,,Not specified,Not specified,2022,
Activity purpose categories,C34,28-06-2023,,,,,,4,,,,,,,,,4
Agriforest Ontology - Natural resource and environment ontology,AFO,28-06-2023,,2018,2017,,,,,,,,,,,,
Agronomy Ontology,AgrO,28-06-2023,Not specified,2022-11-02,,2022-11-02,2022-11-02,,,2022-11-02,,,,2022-11-02,2022-11-02,2021-11-05,
AGROVOC Multilingual Thesaurus,AGROVOC,28-06-2023,,2022,2021,,Not specified,,2021,Not specified,,,,,,,2023-01-10
Amphibian Taxonomy Ontology,ATO,28-06-2023,2009,,,2009,Not specified,,,Not specified,,,,,Not specified,,
An ontology of core ecological entities,ECOCORE,28-06-2023,2022,,,2022,2022,,,,,,,2022,2022,2022,
AnaEE Thesaurus,ANAEETHES,29-06-2023,,2.0,Not specified,,,,,4.7,,,,,,,
Animal Natural History and Life History Ontology,ADW,29-06-2023,2010,,,2010,Not specified,,,,,,,Not specified,Not specified,,
Ascomycete phenotype ontology,APO,30-06-2023,2023,,,2018,2023,,,2023,,,,2021,2023,2022,
Biodiversity Thesaurus,BIODIVTHES,29-06-2023,,2.1,,,,,2.1,,,,,,,,
"Bioinformatics operations, data types, formats, identifiers and topics",EDAM,30-06-2023,4.33,1.25,,1.26,Not specified,,,1.25,,,,6.00,,1.25,
Biological and Environmental Research Ontology,BERO,30-06-2023,2022,,,2022,,,,,,,,,,,
Biological Collections Ontology,BCO,30-06-2023,2021,2016,2016,2021,2021,,,,,,,2021,2021,2021,
Biological Spatial Ontology,BSPO,30-06-2023,2023,,,2023,2023,,,Not specified,,,,2023,2023,2022,
BODC parameter semantic model matrices,S26,29-06-2023,,,,,,36,,,,,,,,,36
BODC Parameter Usage Vocabulary,P01,29-06-2023,,,,,,1151,,,,,,,,,1129
BODC-approved data storage units,P06,29-06-2023,,,,,,2023,,,,,,,,,2022-12-03
C. elengans Phenotype Vocabulary,WB-PHENOTYPE,29-06-2023,2023,,,2023,,,,Not specified,,,,2018,2023,2022,
Cephalopod Ontology,CEPH,29-06-2023,2017,,,2016,2016,,,Not specified,,,,2016,2016,2016,
Chemical Entities of Biological Interest,ChEBI,30-06-2023,Not specified,,Not specified,222,222,,,221,,,,222,222,222,
Chemistry vocabulary,Chemistry voc,30-06-2023,,,,,,,,1.1,1.1,,,,,,
Climate and Forecast Standard Names,P07,29-06-2023,,,,,,81,,,,,,,,,2023-02-07
Climate change (Thesaurus),Climate change,30-06-2023,,,,,,,,1.2,1.2,,,,,,
Clytia hemisphaerica Development and Anatomy Ontology,CLYH,29-06-2023,2020,,,2020,2020,,,,,,,2020,2020,2020,
Coleoptera Anatomy Ontology,COLAO,29-06-2023,2023,,,2023,2023,,,,,,,2023,2023,2023,
Collembola Anatomy Ontology,CLAO,29-06-2023,0.00,,,2020,2021,,,,,,,2021,2021,2021,
Common Anatomy Reference Ontology,CARO,30-06-2023,2023,,,2023,2023,,,Not specified,,,,2023,2023,2022,
