Title;Acronym;Description;Access URL;Included in data catalogue;Type;Has representation language;Format;Theme;Licence;Version;Source accessed on
Animal Natural History and Life History Ontology;ADW;An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.;https://bioportal.bioontology.org/ontologies/ADW;AberOWL, BioPortal, Ontobee, Bioregistry, OBO Foundry;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;Not specified;2023-06-29
Corine Land Cover Nomenclature;CLC;Corine Land Cover Classes published by the European Environment Agency. In any variance between the EEA documentation and this document, the original documentation is authoritative.;http://agroportal.lirmm.fr/ontologies/CLC;AgroPortal;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;Not specified;v2015;2023-07-05
Thesaurus of Plant Characteristics for Ecology and Evolution;TOP;The Thesaurus Of Plant characteristics (TOP), aims to harmonize and formalize concepts for plant characteristics widely used in ecology. TOP concentrates on two types of plant characteristics: traits and environmental associations. Characteristics are modelled as the ‘Quality’ of an ‘Entity’ used in the context of Open Biological Ontologies. Whenever possible, the Entities and Qualities are taken from existing terminology standards, mainly the Plant Ontology (PO) and Phenotypic Quality Ontology (PATO) ontologies. TOP provides names, definitions, units, synonyms and related terms for about 850 plant characteristics.;https://agroportal.lirmm.fr/ontologies/TOP;AgroPortal;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;Not specified;v1;2023-07-06
Banana Anatomy;CO_125;This ontology is a part of the the Crop Ontology project (http://www.cropontology.org), created in 2008 by the CGIAR, as an essential source of traits and variables to support the standardization of the breeding databases.;https://agroportal.lirmm.fr/ontologies/CO_125/?p=classes;AgroPortal;Ontology;OWL;CSV, RDF/XML, OBO;Biosphere;CC BY 4.0;Not specified;2023-07-07
Agriforest Ontology - Natural resource and environment ontology;AFO;"AFO is particularly suitable for natural resource and environmental sectors (e.g. agriculture, forestry, forestry, forestry, etc,
forestry, food, environment, game management, fisheries and aquaculture.
biology). AFO is based on the Agriforest glossary, which is
maintained by the Viikki Campus Library of the University of Helsinki until 2014
until 2014.

The concepts and collections included in the ontology are broken down by type below.
The total number of concepts includes the AFO concepts and collections.
collection concepts, but also YSO concepts, as AFO is linked to YSO.
and YSO complements it, e.g. in terms of top hierarchy. The actual AFO concepts
are presented as a separate chapter. The total also includes collections.
These have a specific function (grouping concepts and composite concepts)
and are not intended to be used for descriptive purposes or data retrieval.
On the other hand, the information on the number of terms only applies to AFO, i.e. these chapters do not contain
YSO terms are not included in these figures. Each concept in the ontology has a main term and
and possibly also substituted terms, i.e. control terms.

The AFO ontology was originally developed in the FinnONTO (2003-2012) project led by Aalto University and the University of Helsinki.";https://finto.fi/afo/en/;AgroPortal, BARTOC;Glossary;SKOS;SKOS-Core, CSV, RDF/XML, Turtle;All;CC BY 4.0;Not specified;2023-06-28
Global Agricultural Concept Scheme;GACS;"The Global Agricultural Concept Space (GACS) is a hub for concepts related to agriculture, in multiple languages, for use in Linked Data. GACS Core is the first of potentially many concept schemes in this larger concept space. The idea for GACS emerged out of discussions at the World Congress of IAALD, the International Association of Agricultural Information Specialists, in July 2013. The Food and Agricultural Organization of the United Nations (FAO), CAB International (CABI), and the National Agricultural Library of the USA (NAL) agreed in October 2013 to explore the feasibility of developing a shared concept scheme by integrating their three thesauri: the AGROVOC Concept Scheme, the CAB Thesaurus (CABT), and NAL Thesaurus (NALT). In the
GACS vision, the integration of these three thesauri was the first step towards the realization of a hub that links to and from the concept schemes beyond the initial three, and in multiple language areas. Not actively maintained. Data is from 2016.";http://browser.agrisemantics.org/gacs/en/;AgroPortal, BARTOC;Thesaurus;SKOS;RDF/XML, CSV, Turtle;Biosphere-Geosphere;CC BY;Beta 1.6 ;2023-07-03
Phenotypic Quality Ontology;PATO;Phenotypic qualities (properties). This ontology can be used in conjunction with other ontologies such as GO or anatomical ontologies to refer to phenotypes. Examples of qualities are red, ectopic, high temperature, fused, small, edematous and arrested.;https://github.com/pato-ontology;AgroPortal, BioPortal, AberOWL, Ontobee, Bioregistry, OLS, OBO Foundry, FAIRsharing, GFBio Terminology Service, I-ADOPT;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY 3.0;2023.02.17;2023-07-05
Extensible Observation Ontology;OBOE;The Extensible Observation Ontology (OBOE) is a formal ontology for capturing the semantics of scientific observation and measurement. The ontology supports researchers to add detailed semantic annotations to scientific data, thereby clarifying the inherent meaning of scientific observations.;https://github.com/NCEAS/oboe/;AgroPortal, BioPortal, FAIRsharing, I-ADOPT, BARTOC;Ontology;OWL;OWL, CSV, RDF/XML;All;CC BY 3.0;v1.2;2023-07-03
Plant Ontology;PO;The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.;https://github.com/Planteome/plant-ontology;AgroPortal, BioPortal, OLS, OBO Foundry, Bioregistry, Ontobee, AberOWL, FAIRsharing, I-ADOPT, GFBio Terminology Service, BARTOC;Ontology;OWL;OWL, OBO;Biosphere;CC BY ND 3.0 US;01/09/16;2023-07-05
Apple Ontology;CO_370;Apple (Malus domestica) defines crop traits and variables to support the standardisation of apple breeding databases providing description of agronomic, morphological, physiological, quality traits, its methods and scales.;https://cropontology.org/term/CO_370:ROOT;AgroPortal, Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;v1.1;2023-07-06
Cotton Ontology;CO_358;Not specified;https://cropontology.org/term/CO_358:ROOT;AgroPortal, Bioregistry, OLS;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;03/01/20;2023-07-07
Fababean Ontology;CO_365;Not specified;https://cropontology.org/term/CO_365:ROOT;AgroPortal, Bioregistry, OLS;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;15/10/19;2023-07-07
Bambara groundnut Ontology;CO_366;This ontology is a part of the the Crop Ontology project , as an essential source of traits and variables to support the standardization of the breeding databases.;https://cropontology.org/term/CO_366:ROOT;AgroPortal, Bioregistry, OLS;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;23/12/19;2023-07-06
Maize Ontology;CO_322;Not specified;https://cropontology.org/term/CO_322:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/09/16;2023-07-07
Pearl millet Ontology;CO_327;Not specified;https://cropontology.org/term/CO_327:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/04/16;2023-07-07
Potato Ontology;CO_330;Not specified;https://cropontology.org/term/CO_330:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/12/17;2023-07-07
Common Bean Ontology;CO_335;Not specified;https://cropontology.org/term/CO_335:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/08/14;2023-07-07
Groundnut Ontology;CO_337;Not specified;https://cropontology.org/term/CO_337:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/09/15;2023-07-07
Chickpea Ontology;CO_338;Not specified;https://cropontology.org/term/CO_338:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/07/15;2023-07-07
Lentil Ontology;CO_339;Not specified;https://cropontology.org/term/CO_339:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/07/15;2023-07-07
Pigeonpea Ontology;CO_341;Not specified;https://cropontology.org/term/CO_341:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/07/15;2023-07-07
Mungbean Ontology;CO_346;Not specified;https://cropontology.org/term/CO_346:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/10/16;2023-07-07
Castor bean Ontology;CO_347;Not specified;https://cropontology.org/term/CO_347:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/03/17;2023-07-06
Oat Ontology;CO_350;Not specified;https://cropontology.org/term/CO_350:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;v1.0;2023-07-07
Banana Ontology;CO_325;Banana Trait Dictionary in template 5 - characterization and breeding variables, drought experiment variables.;https://cropontology.org/term/CO_325:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/04/19;2023-07-06
Brassica Ontology;CO_348;Brassica Trait Ontology (BRaTO) hosts trait information to describe brassica crop data. Terms are collected from various projects including OREGIN, RIPR (UK) and Rapsodyn (France). BRATO development is conducted by Earlham Institute (UK), Southern Cross University (Australia) and INRA (France).;https://cropontology.org/term/CO_348:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/11/17;2023-07-06
Barley Ontology;CO_323;Reference Plant Ontologies are being developed in the context of the Plantome project and are being integrated with the Crop Ontology, which provides harmonized breeder's trait names, measurement methods, scales, and standard variables for many crops. The barley Ontology is one of these reference plant ontologies integrated within the Crop Ontology.;https://cropontology.org/term/CO_323:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;v1.2;2023-07-06
Brachiaria Ontology;CO_345;This ontology is a part of the the Crop Ontology project (http://www.cropontology.org), as an essential source of traits and variables to support the standardization of the breeding databases.;https://cropontology.org/term/CO_345:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/10/16;2023-07-06
Cassava Ontology;CO_334;This ontology is a part of the the Crop Ontology project, as an essential source of traits and variables to support the standardization of the breeding databases.;https://cropontology.org/term/CO_334:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/02/16;2023-07-06
Beet Ontology;CO_333;This ontology was built as part of the AKER project. It describes variables used in beet phenotyping (experimental properties and measurement scale) for each institution (INRAE, Geves, ITB) and breeding companies (Florimond Desprez). Curator: Dorothee Charruaud (ADRINORD - URGI) Daphne Verdelet (Florimond Desprez) - First submission in November 2017.;https://cropontology.org/term/CO_333:ROOT;AgroPortal, Bioregistry, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/11/17;2023-07-06
AGROVOC Multilingual Thesaurus;AGROVOC;AGROVOC is a relevant Linked Open Data set about agriculture available for public use and facilitates access and visibility of data across domains and languages. It offers a structured collection of agricultural concepts, terms, definitions and relationships which are used to unambiguously identify resources, allowing standardized indexing processes and making searches more efficient. AGROVOC uses semantic web technologies, linking to other multilingual knowledge organization systems and building bridges between datasets.;http://aims.fao.org/vest-registry/vocabularies/agrovoc - ;AgroPortal, EcoPortal, Bioregistry, FAIRsharing, BARTOC, ARDC;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;All;CC BY 3.0 IGO;Not specified;2023-06-28
Biodiversity Thesaurus;BIODIVTHES;This bilingual thesaurus organizes the key concepts of biodiversity sciences, in their basic and applied ecological components. It uses polyhierarchy and includes 818 reciprocal associative relationships. The 1654 French and English descriptors (designating 827 concepts) are enriched with a large number of synonyms (1860) and hidden variants (7020) in both languages. Concepts are grouped into 82 collections, by semantic categories, thematic fields and EBV classes (Essential Biodiversity Variables). Definitions are given with their sources. This resource is aligned with the international thesauri AGROVOC, GEMET (GEneral Multilingual Environmental Thesaurus) and EnvThes (Environmental Thesaurus), as well as with the ontology ENVO (Environment Ontology).;https://www.loterre.fr/skosmos/BLH/en/;AgroPortal, EcoPortal, I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core, Turtle;Biosphere;CC BY 4.0;v2.1;2023-06-29
Process and Observation Ontology;PO2;A core ontology for modeling transformation processes and their observations. PO2 is part of an interdisciplinary project called Delicious concerning the production and transformation processes in food science. The project combines data from different disciplines like food composition, food structure, sensorial perception and nutrition.;http://agroportal.lirmm.fr/ontologies/PO2;AgroPortal, FAIRsharing;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY 4.0;v2;2023-07-05
OntoBiotope;ONTOBIOTOPE;OntoBiotope is an ontology of microorganism habitats. Its modeling principle and its lexicon reflect the biotope classification used by biologists to describe microorganism isolation sites (e.g. GenBank, GOLD, ATCC). OntoBiotope is developed and maintained by the Meta-omics of Microbial Ecosystems (MEM) network in which 30 microbiologists from INRA (French National Institute for Agricultural Research) from all fields of applied microbiology participate. The relevance of OntoBiotope terms is evaluated through the PubMedBiotope semantic search engine. It identifies and categorizes microbial biotopes in all PubMed abstracts by applying the ToMap method (Text to Ontology Mapping) to the OntoBiotope ontology. It also indexes 3,35 millions relations between taxa and their habitats.;https://data.inra.fr/dataset.xhtml?persistentId=doi:10.15454/1.4382640528105164E12;AgroPortal, FAIRsharing;Ontology;OWL;RDF/XML, CSV, OBO;Biosphere;CC BY ND 4.0;01/10/21;2023-07-04
